FQDN,ipv4,shortname
vlab024200.dom024200.lab,10.204.130.170,v0
vlab024201.dom024200.lab,10.204.130.171,v1
vlab024202.dom024200.lab,10.204.130.172,v2
vlab024203.dom024200.lab,10.204.130.173,v3
vlab024204.dom024200.lab,10.204.130.174,v4
vlab024205.dom024200.lab,10.204.130.175,v5
vlab024206.dom024200.lab,10.204.130.176,v6
vlab024207.dom024200.lab,10.204.130.177,v7
vlab024208.dom024200.lab,10.204.130.178,v8
vlab024209.dom024200.lab,10.204.130.179,v9
vlab024210.dom024200.lab,10.204.130.180,v10
vlab024211.dom024200.lab,10.204.130.181,v11
vlab024212.dom024200.lab,10.204.130.182,v12
